"Ta","Humidity","maxTime","Pdgrowth"
-10,60,312,0.0315260931152759
-9,60,336,0.0339510882440686
-8,60,336,0.0339510882440686
-7,60,384,0.0388010785016541
-6,60,408,0.0412260736304468
-5,60,432,0.0436510687592395
-4,60,480,0.048501059016825
-3,60,504,0.0509260541456177
-2,60,576,0.0582010395319959
-1,60,648,0.0654760249183741
0,60,720,0.0727510103047522
1,60,840,0.0848759859487159
2,60,984,0.0994259567214722
3,60,1200,0.121250912880607
4,60,1512,0.152775849554912
5,60,2088,0.210975732645937
6,60,3312,0.334650484214366
7,60,3000,0.350663756395889
8,60,2712,0.358273129879023
9,60,2400,0.351489790813475
10,60,2136,0.340898609257922
11,60,1872,0.320260727404717
12,60,1656,0.29854845134844
13,60,1440,0.268367928541054
14,60,1272,0.239381435888511
15,60,1104,0.203385900842536
16,60,960,0.165503113449737
17,60,840,0.12594473772646
18,60,744,0.0841551605187299
19,60,648,0.0369104956954179
20,60,576,0
21,60,504,0
22,60,432,0
-10,61,312,0.032857657308544
-9,61,336,0.0353850766949363
-8,61,336,0.0353850766949363
-7,61,384,0.0404399154677211
-6,61,408,0.0429673348541135
-5,61,432,0.0454947542405059
-4,61,480,0.0505495930132906
-3,61,504,0.053077012399683
-2,61,576,0.0606592705588601
-1,61,648,0.0682415287180373
0,61,720,0.0758237868772144
1,61,840,0.0884608838091763
2,61,984,0.103625400127531
3,61,1200,0.126372174605062
4,61,1512,0.159228626628163
5,61,2088,0.219886691901581
6,61,3312,0.348785080607593
7,61,3000,0.365474703638425
8,61,2712,0.373405473408322
9,61,2400,0.36633562718258
10,61,2136,0.355297107034444
11,61,1872,0.333787545192218
12,61,1656,0.31115821007489
13,61,1440,0.279702955782144
14,61,1272,0.249492163767055
15,61,1104,0.211976289191236
16,61,960,0.172493450594851
17,61,840,0.13126425202447
18,61,744,0.0877096129532806
19,61,648,0.0384694803194904
20,61,576,0
21,61,504,0
22,61,432,0
-10,62,312,0.0342579300455729
-9,62,336,0.0368930587682874
-8,62,336,0.0368930587682874
-7,62,384,0.0421633162137164
-6,62,408,0.0447984449364309
-5,62,432,0.0474335736591454
-4,62,480,0.0527038311045745
-3,62,504,0.055338959827289
-2,62,576,0.0632443459954326
-1,62,648,0.0711497321635761
0,62,720,0.0790551183317196
